rok,pocet_filmu
1920,1
1921,3
1922,1
1923,2
1924,1
1925,4
1926,2
1927,3
1928,2
1929,1
1930,1
1931,2
1932,4
1933,1
1934,1
1936,3
1937,3
1938,2
1939,9
1940,3
1941,6
1942,4
1944,2
1945,3
1946,2
1947,3
1948,8
1949,4
1950,6
1951,4
1952,7
1953,3
1954,7
1955,5
1956,5
1957,11
1958,9
1959,13
1960,10
1961,8
1962,13
1963,9
1964,13
1965,14
1966,15
1967,19
1968,12
1969,14
1970,7
1971,10
1972,9
1973,15
1974,11
1975,10
1976,12
1977,10
1978,13
1979,11
1980,10
1981,9
1982,12
1983,11
1984,16
1985,8
1986,14
1987,8
1988,15
1989,11
1990,18
1991,13
1992,16
1993,19
1994,15
1995,18
1996,14
1997,18
1998,16
1999,22
2000,17
2001,18
2002,18
2003,22
2004,26
2005,20
2006,14
2007,18
2008,24
2009,13
2010,11
2011,11
2012,13
2013,12
2014,12
2015,7
2016,12
2017,8
2018,12
2019,10
2020,9
2021,3
2022,3
2023,8
2024,4
2025,6
